trial	count_a	lat_a	count_m	lat_m	scorer
11156.20130423.1.18	1	253	1	267	RI
11156.20130423.1.19	1	216	1	217	RI
11156.20130423.1.20	-1	-1	-1	-1	RI
11156.20130423.1.21	1	213	1	233	RI
11156.20130423.1.22	2	142	2	150	RI
11156.20130423.1.23	-1	-1	-1	-1	RI
11156.20130423.1.24	1	290	1	283	RI
11156.20130423.1.25	1	259	1	233	RI
11156.20130423.1.26	1	208	1	200	RI
11156.20130423.1.27	1	294	-1	-1	RI
11156.20130423.1.28	1	266	1	283	RI
11156.20130423.1.29	1	427	1	383	RI
11156.20130423.1.30	1	452	1	433	RI
11156.20130423.1.31	1	489	1	500	RI
11156.20130423.1.32	1	334	1	350	RI
11156.20130423.1.33	1	400	1	400	RI
11156.20130423.1.34	1	251	1	250	RI
11156.20130423.1.35	1	292	1	300	RI
11156.20130423.1.36	1	234	1	233	RI
11156.20130423.1.37	1	273	1	267	RI
11156.20130423.1.38	1	326	1	333	RI
11156.20130423.1.39	2	149	2	150	RI
11156.20130423.1.40	2	137	0	133	RI
11156.20130423.1.41	1	284	1	300	RI
11156.20130423.1.42	1	248	1	250	RI
11156.20130423.1.43	1	361	1	367	RI
11156.20130423.1.44	1	530	1	533	RI
11156.20130423.1.45	1	312	1	317	RI
11156.20130423.1.46	1	287	1	267	RI
11156.20130423.1.47	1	341	1	367	RI
11156.20130423.1.48	1	297	1	300	RI
11152.20130412.1.1	1	415	1	317	LR
11152.20130412.1.2	1	435	1	417	LR
11152.20130412.1.3	1	346	1	350	LR
11152.20130412.1.4	1	353	1	333	LR
11152.20130412.1.5	1	405	1	383	LR
11152.20130412.1.6	1	388	1	333	LR
11152.20130412.1.7	-1	-1	1	283	LR
11152.20130412.1.8	1	410	1	383	LR
11152.20130412.1.9	1	501	1	517	LR
11152.20130412.1.10	1	319	1	300	LR
11152.20130412.1.11	1	439	1	433	LR
11152.20130412.1.12	1	390	1	367	LR
11152.20130412.1.13	1	299	1	267	LR
11152.20130412.1.14	1	277	1	267	LR
11152.20130412.1.15	1	373	1	350	LR
11152.20130412.1.16	1	314	1	300	LR
11152.20130412.1.17	1	322	1	283	LR
11152.20130412.1.18	1	265	1	233	LR
11152.20130412.1.19	1	548	1	500	LR
11152.20130412.1.20	1	297	1	283	LR
11152.20130412.1.21	1	245	1	233	LR
11152.20130412.1.22	1	540	1	500	LR
11152.20130412.1.23	1	255	1	250	LR
11152.20130412.1.24	1	331	1	333	LR
11152.20130412.1.25	2	157	2	167	LR
11152.20130412.1.26	1	270	1	250	LR
11152.20130412.1.27	-1	-1	-1	-1	LR
11152.20130412.1.28	1	287	1	267	LR
11152.20130412.1.29	1	312	1	250	LR
11152.20130412.1.30	1	231	1	200	LR
11152.20130412.1.31	1	270	1	267	LR
11152.20130412.1.32	2	189	2	200	LR
11152.20130412.1.33	1	304	1	283	LR
11152.20130412.1.34	1	372	1	333	LR
11152.20130412.1.35	1	277	1	267	LR
11152.20130412.1.36	1	299	1	233	LR
11152.20130412.1.37	1	234	1	217	LR
11152.20130412.1.38	1	262	1	217	LR
11152.20130412.1.39	1	331	1	317	LR
11152.20130412.1.40	2	218	2	233	LR
11152.20130412.1.41	1	267	1	250	LR
11152.20130412.1.42	2	117	2	100	LR
11152.20130412.1.43	1	422	1	417	LR
11152.20130412.1.44	1	258	1	267	LR
11152.20130412.1.45	1	393	1	367	LR
11152.20130412.1.46	1	213	1	200	LR
11152.20130412.1.47	1	312	1	283	LR
11152.20130412.1.48	1	336	1	350	LR
11151.20130408.1.1	1	319	1	150	LR
11151.20130408.1.2	1	265	1	250	LR
11151.20130408.1.3	2	267	2	267	LR
11151.20130408.1.4	1	218	1	217	LR
11151.20130408.1.5	1	176	1	183	LR
11151.20130408.1.6	1	240	1	233	LR
11151.20130408.1.7	1	705	1	300	LR
11151.20130408.1.8	2	159	2	167	LR
11151.20130408.1.9	1	253	1	250	LR
11151.20130408.1.10	1	294	1	283	LR
11151.20130408.1.11	1	213	1	200	LR
11151.20130408.1.12	1	248	1	217	LR
11151.20130408.1.13	1	270	1	250	LR
11151.20130408.1.14	1	260	1	233	LR
11151.20130408.1.15	1	265	1	250	LR
11151.20130408.1.16	1	235	1	233	LR
11151.20130408.1.17	2	127	2	117	LR
11151.20130408.1.18	1	209	1	200	LR
11151.20130408.1.19	1	216	1	200	LR
11151.20130408.1.20	1	259	1	233	LR
11151.20130408.1.21	1	255	-1	650	LR
11151.20130408.1.22	1	152	1	133	LR
11151.20130408.1.23	1	199	1	183	LR
11151.20130408.1.24	1	373	1	250	LR
11151.20130408.1.25	1	322	1	267	LR
11151.20130408.1.26	1	231	1	233	LR
11151.20130408.1.27	1	157	1	150	LR
11151.20130408.1.28	2	162	2	150	LR
11151.20130408.1.29	1	218	1	200	LR
11151.20130408.1.30	1	228	1	217	LR
11151.20130408.1.31	1	309	1	300	LR
11151.20130408.1.32	1	199	1	183	LR
11151.20130408.1.33	2	149	2	133	LR
11151.20130408.1.34	1	290	1	300	LR
11151.20130408.1.35	1	216	1	217	LR
11151.20130408.1.36	-1	-1	-1	717	LR
11151.20130408.1.37	-1	-1	-1	-1	LR
11151.20130408.1.38	1	191	1	183	LR
11151.20130408.1.39	1	142	1	133	LR
11151.20130408.1.40	1	232	1	183	LR
11151.20130408.1.41	1	184	1	183	LR
11151.20130408.1.42	1	113	1	100	LR
11151.20130408.1.43	1	140	1	133	LR
11151.20130408.1.44	2	147	2	133	LR
11151.20130408.1.45	1	260	1	217	LR
11151.20130408.1.46	1	275	1	283	LR
11151.20130408.1.47	1	304	1	283	LR
11151.20130408.1.48	1	216	1	217	LR
