script cueTime targetTime type targetPos
List11AV 81 84 as 2
List11AV 88.5 91.5 as 3
List11AV 96 99 as 4
List11AV 106.5 109.5 as 1
List11AV 114 117 as 5
List11AV 121.5 124.5 as 6
List11AV 132 135 as 6
List11AV 139.5 142.5 as 3
List11AV 216 219 ps 6
List11AV 226.5 229.5 ps 2
List11AV 234 237 ps 4
List11AV 241.5 244.5 ps 1
List11AV 252 255 ps 4
List11AV 265.5 268.5 ps 5
List11AV 273 276 ps 5
List11AV 286.5 289.5 ps 3
List11AV 294 297 ps 6
List11AV 301.5 304.5 ps 3
List11AV 309 312 ps 1
List11AV 319.5 322.5 ps 2
List12AV 46.5 49.5 as 3
List12AV 54 57 as 6
List12AV 61.5 64.5 as 2
List12AV 69 72 as 2
List12AV 76.5 79.5 as 1
List12AV 84 87 as 3
List12AV 94.5 97.5 as 1
List12AV 105 108 as 5
List12AV 112.5 115.5 as 6
List12AV 123 126 as 4
List12AV 130.5 133.5 as 5
List12AV 144 147 as 4
List12AV 214.5 217.5 ps 3
List12AV 228 231 ps 2
List12AV 235.5 238.5 ps 4
List12AV 243 246 ps 5
List12AV 253.5 256.5 ps 6
List12AV 261 264 ps 1
List12AV 268.5 271.5 ps 1
List12AV 276 279 ps 2
List12AV 286.5 289.5 ps 6
List12AV 294 297 ps 3
List12AV 301.5 304.5 ps 5
List12AV 315 318 ps 4
List1VA 46.5 49.5 ps 4
List1VA 54 57 ps 5
List1VA 61.5 64.5 ps 3
List1VA 72 75 ps 1
List1VA 79.5 82.5 ps 1
List1VA 87 90 ps 2
List1VA 94.5 97.5 ps 3
List1VA 105 108 ps 6
List1VA 118.5 121.5 ps 2
List1VA 126 129 ps 6
List1VA 139.5 142.5 ps 4
List1VA 147 150 ps 5
List1VA 211.5 214.5 as 1
List1VA 222 225 as 4
List1VA 229.5 232.5 as 3
List1VA 237 240 as 6
List1VA 244.5 247.5 as 5
List1VA 252 255 as 4
List1VA 265.5 268.5 as 3
List1VA 279 282 as 6
List1VA 286.5 289.5 as 1
List1VA 297 300 as 5
List1VA 304.5 307.5 as 2
List1VA 315 318 as 2
List2VA 48 51 ps 1
List2VA 58.5 61.5 ps 3
List2VA 72 75 ps 2
List2VA 82.5 85.5 ps 2
List2VA 90 93 ps 5
List2VA 97.5 100.5 ps 6
List2VA 105 108 ps 1
List2VA 112.5 115.5 ps 5
List2VA 120 123 ps 4
List2VA 127.5 130.5 ps 6
List2VA 141 144 ps 4
List2VA 148.5 151.5 ps 3
List2VA 213 216 as 5
List2VA 223.5 226.5 as 2
List2VA 231 234 as 4
List2VA 244.5 247.5 as 3
List2VA 252 255 as 2
List2VA 259.5 262.5 as 4
List2VA 267 270 as 1
List2VA 277.5 280.5 as 6
List2VA 285 288 as 5
List2VA 292.5 295.5 as 1
List2VA 306 309 as 6
List2VA 313.5 316.5 as 3
List3VA 42 45 ps 4
List3VA 52.5 55.5 ps 1
List3VA 60 63 ps 6
List3VA 67.5 70.5 ps 2
List3VA 78 81 ps 6
List3VA 91.5 94.5 ps 2
List3VA 99 102 ps 5
List3VA 106.5 109.5 ps 4
List3VA 114 117 ps 1
List3VA 121.5 124.5 ps 3
List3VA 135 138 ps 3
List3VA 142.5 145.5 ps 5
List3VA 210 213 as 3
List3VA 217.5 220.5 as 4
List3VA 225 228 as 5
List3VA 232.5 235.5 as 1
List3VA 240 243 as 6
List3VA 250.5 253.5 as 6
List3VA 258 261 as 3
List3VA 265.5 268.5 as 2
List3VA 279 282 as 5
List3VA 286.5 289.5 as 4
List3VA 297 300 as 1
List3VA 304.5 307.5 as 2
List4VA 40.5 43.5 ps 3
List4VA 54 57 ps 1
List4VA 61.5 64.5 ps 4
List4VA 69 72 ps 3
List4VA 79.5 82.5 ps 1
List4VA 90 93 ps 5
List4VA 99 102 ps 2
List4VA 108 111 ps 2
List4VA 115.5 118.5 ps 6
List4VA 123 126 ps 6
List4VA 130.5 133.5 ps 5
List4VA 144 147 ps 4
List4VA 210 213 as 5
List4VA 223.5 226.5 as 6
List4VA 231 234 as 3
List4VA 238.5 241.5 as 3
List4VA 246 249 as 2
List4VA 256.5 259.5 as 6
List4VA 264 267 as 5
List4VA 277.5 280.5 as 4
List4VA 285 288 as 4
List4VA 295.5 298.5 as 1
List4VA 303 306 as 1
List4VA 313.5 316.5 as 2
List5VA 42 45 ps 6
List5VA 49.5 52.5 ps 2
List5VA 60 63 ps 4
List5VA 67.5 70.5 ps 3
List5VA 75 78 ps 5
List5VA 82.5 85.5 ps 1
List5VA 90 93 ps 3
List5VA 100.5 103.5 ps 5
List5VA 114 117 ps 1
List5VA 121.5 124.5 ps 2
List5VA 135 138 ps 4
