trial	count_a	lat_a	count_m	lat_m	scorer
11152.20130501.4.24	1	473	1	433	RI
11152.20130501.4.25	-1	-1	1	517	RI
11152.20130501.4.26	1	409	1	367	RI
11152.20130501.4.27	1	453	1	433	RI
11152.20130501.4.28	1	521	1	500	RI
11152.20130501.4.29	1	389	1	417	RI
11152.20130501.4.30	1	453	1	433	RI
11152.20130501.4.31	1	362	1	350	RI
11152.20130501.4.32	1	457	1	450	RI
11152.20130501.4.33	1	385	1	400	RI
11152.20130501.4.34	1	409	1	417	RI
11152.20130501.4.35	1	477	1	500	RI
11152.20130501.4.36	1	424	1	417	RI
11152.20130501.4.37	1	453	1	467	RI
11152.20130501.4.38	1	513	1	500	RI
11152.20130501.4.39	-1	-1	1	667	RI
11152.20130501.4.40	1	449	1	450	RI
11152.20130501.4.41	1	385	1	417	RI
11152.20130501.4.42	1	441	1	433	RI
11152.20130501.3.1	1	453	1	417	RI
11152.20130501.3.2	1	409	1	400	RI
11152.20130501.3.3	1	553	1	567	RI
11152.20130501.3.4	1	413	1	433	RI
11152.20130501.3.5	1	401	1	417	RI
11152.20130501.3.6	2	1205	1	500	RI
11152.20130501.3.7	1	473	1	483	RI
11152.20130501.3.8	1	489	1	517	RI
11152.20130501.3.9	1	365	1	383	RI
11152.20130501.3.10	1	777	1	783	RI
11152.20130501.3.11	1	385	1	400	RI
11152.20130501.3.12	1	453	1	467	RI
11152.20130501.3.13	-1	-1	-1	-1	RI
11152.20130501.3.14	1	505	1	533	RI
11152.20130501.3.15	1	461	1	467	RI
11152.20130501.3.16	1	425	1	450	RI
11152.20130501.3.17	1	421	1	417	RI
11152.20130501.3.18	1	461	1	483	RI
11152.20130501.3.19	2	353	2	367	RI
11152.20130501.3.20	1	499	1	467	RI
11152.20130501.3.21	1	421	1	433	RI
11152.20130501.3.22	1	425	1	450	RI
11152.20130501.3.23	-1	-1	-1	-1	RI
11152.20130501.3.24	1	421	1	450	RI
11152.20130501.3.25	-1	-1	1	200	RI
11152.20130501.3.26	-1	-1	-1	-1	RI
11152.20130501.3.27	-1	-1	-1	-1	RI
11152.20130501.3.28	1	421	1	433	RI
11152.20130501.3.29	1	421	1	433	RI
11152.20130501.3.30	-1	-1	-1	-1	RI
11152.20130501.3.31	1	537	1	550	RI
11152.20130501.3.32	1	401	1	417	RI
11152.20130501.3.33	1	433	1	450	RI
11152.20130501.3.34	1	489	1	500	RI
11152.20130501.3.35	1	461	1	450	RI
11152.20130501.3.36	1	468	1	400	RI
11152.20130501.3.37	1	421	1	433	RI
11152.20130501.3.38	1	389	1	417	RI
11152.20130501.3.39	1	421	1	433	RI
11152.20130501.3.40	1	493	1	517	RI
11152.20130501.3.41	1	477	1	417	RI
11152.20130501.3.42	1	528	1	533	RI
11152.20130501.2.1	1	587	1	500	RI
11152.20130501.2.2	1	461	1	500	RI
11152.20130501.2.3	1	697	1	700	RI
11152.20130501.2.4	1	521	1	533	RI
11152.20130501.2.5	1	477	1	650	RI
11152.20130501.2.6	1	413	1	433	RI
11152.20130501.2.7	1	413	1	417	RI
11152.20130501.2.8	1	469	1	433	RI
11152.20130501.2.9	1	402	1	433	RI
11152.20130501.2.10	2	333	2	350	RI
11152.20130501.2.11	1	500	1	500	RI
11152.20130501.2.12	-1	-1	-1	-1	RI
11152.20130501.2.13	1	400	1	433	RI
11152.20130501.2.14	1	437	1	450	RI
11152.20130501.2.15	1	417	1	433	RI
11152.20130501.2.16	1	517	1	550	RI
11152.20130501.2.17	1	425	1	417	RI
11152.20130501.2.18	-1	-1	-1	-1	RI
11152.20130501.2.19	1	269	1	283	RI
11152.20130501.2.20	-1	-1	-1	-1	RI
11152.20130501.2.21	1	565	1	583	RI
11152.20130501.2.22	1	486	1	450	RI
11152.20130501.2.23	1	633	1	650	RI
11152.20130501.2.24	1	433	1	450	RI
11152.20130501.2.25	2	381	2	417	RI
11152.20130501.2.26	1	388	1	400	RI
11152.20130501.2.27	2	321	2	350	RI
11152.20130501.2.28	1	621	1	600	RI
11152.20130501.2.29	2	233	2	250	RI
11152.20130501.2.30	1	501	1	517	RI
