trial	count_a	lat_a	count_m	lat_m	scorer
11159.20130425.1.50	1	321	-1	-1	LR
11159.20130425.1.51	-1	-1	-1	-1	LR
11159.20130425.1.52	-1	-1	-1	-1	LR
11159.20130425.1.53	-1	-1	-1	-1	LR
11159.20130425.1.54	-1	-1	-1	-1	LR
11159.20130425.1.55	1	329	-1	-1	LR
11159.20130425.1.56	-1	-1	-1	-1	LR
11159.20130425.1.57	1	353	1	350	LR
11159.20130425.1.58	-1	-1	-1	-1	LR
11159.20130425.1.59	-1	-1	-1	-1	LR
11159.20130425.1.60	1	328	-1	-1	LR
11157.20130424.2.1	1	436	1	300	RI
11157.20130424.2.2	1	409	1	417	RI
11157.20130424.2.3	1	306	1	317	RI
11157.20130424.2.4	1	436	1	450	RI
11157.20130424.2.5	2	369	2	383	RI
11157.20130424.2.6	1	357	1	367	RI
11157.20130424.2.7	1	373	1	383	RI
11157.20130424.2.8	1	361	1	367	RI
11157.20130424.2.9	1	373	1	383	RI
11157.20130424.2.10	1	353	1	367	RI
11157.20130424.2.11	1	523	1	533	RI
11157.20130424.2.12	2	266	2	267	RI
11157.20130424.2.13	1	369	1	383	RI
11157.20130424.2.14	1	409	1	417	RI
11157.20130424.2.15	1	381	1	400	RI
11157.20130424.2.16	1	365	1	383	RI
11157.20130424.2.17	1	361	1	367	RI
11157.20130424.2.18	1	357	1	350	RI
11157.20130424.2.19	1	369	1	383	RI
11157.20130424.2.20	2	293	2	300	RI
11157.20130424.2.21	1	464	1	450	RI
11157.20130424.2.22	1	412	1	417	RI
11157.20130424.2.23	1	409	1	417	RI
11157.20130424.2.24	1	321	1	333	RI
11157.20130424.2.25	1	353	1	433	RI
11157.20130424.2.26	1	374	1	383	RI
11157.20130424.2.27	1	373	1	383	RI
11157.20130424.2.28	1	365	1	383	RI
11157.20130424.2.29	1	365	1	367	RI
11157.20130424.2.30	1	452	1	467	RI
11157.20130424.2.31	1	318	1	333	RI
11157.20130424.2.32	1	373	1	383	RI
11157.20130424.2.33	1	389	1	400	RI
11157.20130424.2.34	1	452	1	467	RI
11157.20130424.2.35	1	404	1	417	RI
11157.20130424.2.36	-1	-1	1	417	RI
11157.20130424.2.37	1	428	1	433	RI
11157.20130424.2.38	1	381	1	400	RI
11157.20130424.2.39	1	345	1	367	RI
11157.20130424.2.40	1	362	1	367	RI
11157.20130424.2.41	1	362	1	367	RI
11157.20130424.2.42	1	353	1	367	RI
11157.20130424.2.43	1	405	1	417	RI
11157.20130424.2.44	1	420	1	417	RI
11157.20130424.2.45	1	432	1	433	RI
11157.20130424.2.46	1	416	1	400	RI
11157.20130424.2.47	1	357	1	350	RI
11157.20130424.2.48	2	321	2	317	RI
11157.20130424.2.49	1	500	1	500	RI
11157.20130424.2.50	0	440	1	1133	RI
11157.20130424.2.51	1	424	1	417	RI
11157.20130424.2.52	1	397	1	400	RI
11157.20130424.2.53	1	381	1	367	RI
11157.20130424.2.54	0	195	0	183	RI
11157.20130424.2.55	1	381	-1	-1	RI
11157.20130424.2.56	1	341	1	350	RI
11157.20130424.2.57	1	509	1	483	RI
11157.20130424.2.58	1	393	1	383	RI
11157.20130424.2.59	1	369	1	367	RI
11157.20130424.2.60	-1	-1	1	867	RI
11157.20130424.1.1	1	437	1	283	RI
11157.20130424.1.2	1	409	1	417	RI
11157.20130424.1.3	1	353	1	350	RI
11157.20130424.1.4	1	373	1	367	RI
11157.20130424.1.5	1	468	1	467	RI
11157.20130424.1.6	1	361	1	367	RI
11157.20130424.1.7	1	337	1	350	RI
11157.20130424.1.8	1	325	1	350	RI
11157.20130424.1.9	1	365	1	367	RI
11157.20130424.1.10	1	321	1	333	RI
11157.20130424.1.11	1	329	1	350	RI
11157.20130424.1.12	1	377	1	383	RI
11157.20130424.1.13	1	424	1	433	RI
11157.20130424.1.14	1	357	1	367	RI
11157.20130424.1.15	1	341	1	350	RI
11157.20130424.1.16	1	333	1	350	RI
11157.20130424.1.17	2	278	2	283	RI
11157.20130424.1.18	1	389	1	383	RI
11157.20130424.1.19	1	393	1	400	RI
11157.20130424.1.20	1	365	1	383	RI
11157.20130424.1.21	1	385	1	400	RI
11157.20130424.1.22	1	333	1	350	RI
11157.20130424.1.23	1	357	1	367	RI
11157.20130424.1.24	1	325	1	317	RI
11157.20130424.1.25	1	381	1	367	RI
11157.20130424.1.26	1	416	1	433	RI
11157.20130424.1.27	2	329	0	317	RI
11157.20130424.1.28	1	480	1	467	RI
11157.20130424.1.29	1	349	1	350	RI
11157.20130424.1.30	1	377	1	367	RI
11157.20130424.1.31	1	353	1	350	RI
11157.20130424.1.32	1	357	1	350	RI
11157.20130424.1.33	1	409	1	400	RI
11157.20130424.1.34	1	412	1	400	RI
11157.20130424.1.35	1	424	1	417	RI
11157.20130424.1.36	2	292	2	283	RI
11157.20130424.1.37	1	397	1	383	RI
11157.20130424.1.38	2	357	2	350	RI
11157.20130424.1.39	1	425	1	417	RI
11157.20130424.1.40	1	613	1	583	RI
11157.20130424.1.41	1	365	1	350	RI
11157.20130424.1.42	1	489	1	467	RI
11157.20130424.1.43	1	537	1	533	RI
11157.20130424.1.44	1	589	1	583	RI
11157.20130424.1.45	1	417	1	417	RI
11157.20130424.1.46	1	437	1	433	RI
11157.20130424.1.47	1	365	1	367	RI
11157.20130424.1.48	1	393	1	383	RI
11157.20130424.1.49	1	417	1	400	RI
11157.20130424.1.50	1	377	1	367	RI
11157.20130424.1.51	1	409	1	400	RI
11157.20130424.1.52	1	665	1	650	RI
11157.20130424.1.53	1	104	2	450	RI
11157.20130424.1.54	1	602	1	600	RI
11157.20130424.1.55	1	1161	1	1150	RI
11157.20130424.1.56	1	369	1	383	RI
11157.20130424.1.57	1	349	1	367	RI
11157.20130424.1.58	1	397	1	417	RI
11157.20130424.1.59	1	353	1	450	RI
11157.20130424.1.60	1	353	1	367	RI
11156.20130423.2.1	1	489	1	267	RI
11156.20130423.2.2	1	425	1	367	RI
11156.20130423.2.3	1	505	1	500	RI
11156.20130423.2.4	1	477	1	483	RI
11156.20130423.2.5	1	453	1	450	RI
11156.20130423.2.6	1	518	1	483	RI
11156.20130423.2.7	1	521	1	517	RI
11156.20130423.2.8	1	565	1	550	RI
11156.20130423.2.9	1	481	1	467	RI
11156.20130423.2.10	1	601	1	583	RI
11156.20130423.2.11	1	637	1	633	RI
11156.20130423.2.12	-1	-1	1	700	RI
11156.20130423.2.13	1	541	1	533	RI
11156.20130423.2.14	1	523	1	517	RI
11156.20130423.2.15	1	492	1	467	RI
11156.20130423.2.16	1	723	1	717	RI
11156.20130423.2.17	1	521	1	533	RI
11156.20130423.2.18	1	582	1	583	RI
11156.20130423.2.19	1	495	1	483	RI
11156.20130423.2.20	-1	-1	-1	-1	RI
11156.20130423.2.21	-1	-1	1	617	RI
11156.20130423.2.22	-1	-1	1	583	RI
11156.20130423.2.23	1	613	1	467	RI
11156.20130423.2.24	1	532	1	567	RI
11156.20130423.2.25	1	626	1	633	RI
11156.20130423.2.26	1	444	1	450	RI
11156.20130423.2.27	1	484	1	483	RI
11156.20130423.2.28	1	543	1	550	RI
11156.20130423.2.29	1	579	1	583	RI
11156.20130423.2.30	1	599	1	617	RI
11156.20130423.2.31	1	480	1	500	RI
11156.20130423.2.32	1	534	1	517	RI
11156.20130423.2.33	1	472	1	467	RI
11156.20130423.2.34	1	614	1	600	RI
11156.20130423.2.35	1	583	1	583	RI
11156.20130423.2.36	-1	-1	1	683	RI
11156.20130423.2.37	1	496	1	483	RI
11156.20130423.2.38	1	500	1	483	RI
11156.20130423.2.39	1	686	1	817	RI
11156.20130423.2.40	1	662	1	733	RI
11156.20130423.2.41	1	551	1	550	RI
11156.20130423.2.42	1	571	1	567	RI
11156.20130423.2.43	1	457	1	450	RI
11156.20130423.2.44	-1	-1	-1	-1	RI
11156.20130423.2.45	1	464	1	467	RI
11156.20130423.2.46	1	457	1	450	RI
11156.20130423.2.47	-1	-1	1	633	RI
11156.20130423.2.48	1	477	1	467	RI
11156.20130423.2.49	1	493	1	483	RI
11156.20130423.2.50	1	477	1	467	RI
11156.20130423.2.51	1	489	1	467	RI
11156.20130423.2.52	1	443	1	450	RI
11156.20130423.2.53	1	457	1	433	RI
11156.20130423.2.54	1	633	1	500	RI
11156.20130423.2.55	1	537	1	533	RI
11156.20130423.2.56	1	465	1	433	RI
11156.20130423.2.57	1	592	1	550	RI
11156.20130423.2.58	1	484	1	500	RI
11156.20130423.2.59	1	488	1	500	RI
11156.20130423.2.60	1	397	1	367	RI
11156.20130423.1.1	1	602	1	417	RI
11156.20130423.1.2	1	474	1	483	RI
11156.20130423.1.3	2	504	-1	-1	RI
11156.20130423.1.4	1	501	1	467	RI
11156.20130423.1.5	1	477	1	467	RI
11156.20130423.1.6	1	577	1	567	RI
11156.20130423.1.7	1	496	1	500	RI
11156.20130423.1.8	1	472	1	467	RI
11156.20130423.1.9	1	377	1	350	RI
11156.20130423.1.10	1	476	1	450	RI
11156.20130423.1.11	1	428	1	450	RI
11156.20130423.1.12	1	385	1	383	RI
11156.20130423.1.13	1	428	1	383	RI
11156.20130423.1.14	1	507	1	517	RI
11156.20130423.1.15	1	481	1	467	RI
