trial	count_a	lat_a	count_m	lat_m	scorer	xdat
10261.20090401.1.11	1	139	-1	-1	KBEASCW	122
10261.20090401.1.12	1	114	1	133	KBEASCW	124
10261.20090401.1.13	1	194	1	217	KBEASCW	124
10261.20090401.1.14	1	174	1	200	KBEASCW	124
10261.20090401.1.15	1	137	1	150	KBEASCW	123
10261.20090401.1.16	1	139	1	150	KBEASCW	122
10261.20090401.1.17	1	164	1	183	KBEASCW	121
10261.20090401.1.18	1	137	1	150	KBEASCW	121
10261.20090401.1.19	1	95	1	117	KBEASCW	123
10261.20090401.1.20	1	157	1	183	KBEASCW	121
10261.20090401.1.21	1	132	1	150	KBEASCW	121
10261.20090401.1.22	1	107	1	133	KBEASCW	121
10261.20090401.1.23	2	68	0	100	KBEASCW	124
10261.20090401.1.24	1	252	1	267	KBEASCW	124
10261.20090401.1.25	1	199	1	217	KBEASCW	124
10261.20090401.1.26	1	124	1	133	KBEASCW	122
10261.20090401.1.27	1	142	1	167	KBEASCW	124
10261.20090401.1.28	1	139	1	150	KBEASCW	124
10261.20090401.1.29	1	112	1	133	KBEASCW	123
10261.20090401.1.30	1	137	1	150	KBEASCW	124
10261.20090401.1.31	1	129	1	150	KBEASCW	124
10261.20090401.1.32	-1	-1	-1	-1	KBEASCW	
10261.20090401.1.33	-1	-1	0	133	KBEASCW	
10261.20090401.1.34	-1	-1	1	150	KBEASCW	
10261.20090401.1.35	-1	-1	1	150	KBEASCW	
10261.20090401.1.36	1	122	1	133	KBEASCW	123
10261.20090401.1.37	1	127	1	133	KBEASCW	123
10261.20090401.1.38	1	105	1	117	KBEASCW	123
10261.20090401.1.39	1	147	1	167	KBEASCW	124
10261.20090401.1.40	-1	-1	1	150	KBEASCW	
10261.20090401.1.41	-1	-1	-1	-1	KBEASCW	
10261.20090401.1.42	1	104	1	117	KBEASCW	123
10261.20090401.1.43	1	100	1	117	KBEASCW	123
10261.20090401.1.44	-1	-1	-1	-1	KBEASCW	
10261.20090401.1.45	-1	-1	1	183	KBEASCW	
10261.20090401.1.46	1	124	1	133	KBEASCW	123
10261.20090401.1.47	1	119	1	133	KBEASCW	122
10261.20090401.1.48	1	124	1	133	KBEASCW	122
*10261.20080416.1.1	-1	-1	1	133	KS	
*10261.20080416.1.2	-1	-1	1	117	KS	
*10261.20080416.1.3	-1	-1	1	117	KS	
*10261.20080416.1.4	-1	-1	1	283	KS	
*10261.20080416.1.5	-1	-1	1	183	KS	
*10261.20080416.1.6	-1	-1	1	167	KS	
*10261.20080416.1.7	-1	-1	1	183	KS	
*10261.20080416.1.8	-1	-1	1	167	KS	
*10261.20080416.1.9	-1	-1	1	233	KS	
*10261.20080416.1.10	-1	-1	1	167	KS	
*10261.20080416.1.11	-1	-1	1	200	KS	
*10261.20080416.1.12	-1	-1	1	200	KS	
*10261.20080416.1.13	-1	-1	1	150	KS	
*10261.20080416.1.14	-1	-1	1	150	KS	
*10261.20080416.1.15	-1	-1	1	150	KS	
*10261.20080416.1.16	-1	-1	1	183	KS	
*10261.20080416.1.17	-1	-1	1	183	KS	
*10261.20080416.1.18	-1	-1	1	167	KS	
*10261.20080416.1.19	-1	-1	1	167	KS	
*10261.20080416.1.20	-1	-1	1	167	KS	
*10261.20080416.1.21	-1	-1	1	167	KS	
*10261.20080416.1.22	-1	-1	1	133	KS	
*10261.20080416.1.23	-1	-1	1	150	KS	
*10261.20080416.1.24	-1	-1	1	167	KS	
*10261.20080416.1.25	-1	-1	1	183	KS	
*10261.20080416.1.26	-1	-1	1	167	KS	
*10261.20080416.1.27	-1	-1	1	217	KS	
*10261.20080416.1.28	-1	-1	1	150	KS	
*10261.20080416.1.29	-1	-1	1	167	KS	
*10261.20080416.1.30	-1	-1	1	233	KS	
*10261.20080416.1.31	-1	-1	1	183	KS	
*10261.20080416.1.32	-1	-1	1	300	KS	
*10261.20080416.1.33	-1	-1	1	133	KS	
*10261.20080416.1.34	-1	-1	1	233	KS	
*10261.20080416.1.35	-1	-1	1	150	KS	
*10261.20080416.1.36	-1	-1	1	150	KS	
*10261.20080416.1.37	-1	-1	1	100	KS	
*10261.20080416.1.38	-1	-1	1	150	KS	
*10261.20080416.1.39	-1	-1	1	333	KS	
*10261.20080416.1.40	-1	-1	1	200	KS	
*10261.20080416.1.41	-1	-1	1	167	KS	
*10261.20080416.1.42	-1	-1	1	117	KS	
*10261.20080416.1.43	-1	-1	1	183	KS	
*10261.20080416.1.44	-1	-1	1	167	KS	
*10261.20080416.1.45	-1	-1	1	183	KS	
*10261.20080416.1.46	-1	-1	1	167	KS	
*10261.20080416.1.47	-1	-1	1	183	KS	
*10261.20080416.1.48	-1	-1	1	300	KS	
*10261.20070615.1.1	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.2	-1	-1	1	300	ANDREW	
*10261.20070615.1.3	-1	-1	1	183	ANDREW	
*10261.20070615.1.4	-1	-1	1	183	ANDREW	
*10261.20070615.1.5	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.6	-1	-1	1	117	ANDREW	
*10261.20070615.1.7	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.8	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.9	-1	-1	1	150	ANDREW	
*10261.20070615.1.10	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.11	-1	-1	1	167	ANDREW	
*10261.20070615.1.12	-1	-1	1	117	ANDREW	
*10261.20070615.1.13	-1	-1	1	283	ANDREW	
*10261.20070615.1.14	-1	-1	1	150	ANDREW	
*10261.20070615.1.15	-1	-1	1	150	ANDREW	
*10261.20070615.1.16	-1	-1	1	250	ANDREW	
*10261.20070615.1.17	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.18	-1	-1	1	167	ANDREW	
*10261.20070615.1.19	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.20	-1	-1	1	133	ANDREW	
*10261.20070615.1.21	-1	-1	1	167	ANDREW	
*10261.20070615.1.22	-1	-1	1	133	ANDREW	
*10261.20070615.1.23	-1	-1	1	133	ANDREW	
*10261.20070615.1.24	-1	-1	1	150	ANDREW	
*10261.20070615.1.25	-1	-1	1	150	ANDREW	
*10261.20070615.1.26	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.27	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.28	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.29	-1	-1	1	300	ANDREW	
*10261.20070615.1.30	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.31	-1	-1	-1	-1	ANDREW	
