"vid","trial","lat.asl","Count.asl","Desc.asl","dotpos","lat.el","Count.el","Desc.el"
"220898rr01",11,NA,-1,"average fixpos(14.7) is off from middle(130.5) by 115.82 (>max 50.0)!",1824,-1300,-1,"early saccade"
"220898rr01",110,278,1,"",259,15,-1,"early saccade"
"220898rr01",111,191,2,"",96,187,2,""
"220898rr01",112,209,1,"",514,15,-1,"early saccade"
"220898rr01",12,NA,-1,"average fixpos(18.8) is off from middle(130.5) by 111.75 (>max 50.0)!",96,-1124,-1,"early saccade"
"220898rr01",13,NA,-1,"average fixpos(31.4) is off from middle(130.5) by 99.12 (>max 50.0)!",96,216,1,""
"220898rr01",14,NA,-1,"average fixpos(38.7) is off from middle(130.5) by 91.83 (>max 50.0)!",514,208,1,""
"220898rr01",16,NA,-1,"average fixpos(25.1) is off from middle(130.5) by 105.42 (>max 50.0)!",514,258,1,""
"220898rr01",17,NA,-1,"average fixpos(234.1) is off from middle(130.5) by 103.63 (>max 50.0)!",96,418,1,""
"220898rr01",18,NA,-1,"average fixpos(221.4) is off from middle(130.5) by 90.94 (>max 50.0)!",96,266,1,""
"220898rr01",19,NA,-1,"average fixpos(229.6) is off from middle(130.5) by 99.10 (>max 50.0)!",1406,390,2,""
"220898rr01",2,NA,-1,"average fixpos(32.0) is off from middle(130.5) by 98.52 (>max 50.0)!",1824,356,1,""
"220898rr01",20,NA,-1,"average fixpos(46.7) is off from middle(130.5) by 83.80 (>max 50.0)!",259,6,-1,"early saccade"
"220898rr01",21,NA,-1,"average fixpos(214.5) is off from middle(130.5) by 84.00 (>max 50.0)!",514,223,1,""
"220898rr01",22,NA,-1,"average fixpos(225.0) is off from middle(130.5) by 94.52 (>max 50.0)!",1661,35,-1,"early saccade"
"220898rr01",23,NA,-1,"average fixpos(21.3) is off from middle(130.5) by 109.17 (>max 50.0)!",1824,303,1,""
"220898rr01",24,NA,-1,"average fixpos(21.7) is off from middle(130.5) by 108.78 (>max 50.0)!",1824,291,1,""
"220898rr01",25,NA,-1,"average fixpos(21.3) is off from middle(130.5) by 109.20 (>max 50.0)!",96,443,1,""
"220898rr01",26,NA,-1,"average fixpos(245.8) is off from middle(130.5) by 115.26 (>max 50.0)!",1406,347,1,""
"220898rr01",27,NA,-1,"average fixpos(21.7) is off from middle(130.5) by 108.77 (>max 50.0)!",1661,15,-1,"early saccade"
"220898rr01",28,NA,-1,"average fixpos(37.4) is off from middle(130.5) by 93.13 (>max 50.0)!",1824,-5,-1,"early saccade"
"220898rr01",29,257,1,"",259,274,1,""
"220898rr01",3,NA,-1,"average fixpos(255.6) is off from middle(130.5) by 125.10 (>max 50.0)!",1406,264,1,""
"220898rr01",30,189,1,"",1406,198,1,""
"220898rr01",31,106,2,"",1406,122,2,""
"220898rr01",32,232,1,"",259,246,1,""
"220898rr01",33,171,1,"",1824,183,1,""
"220898rr01",34,185,1,"",96,199,1,""
"220898rr01",35,167,1,"",1824,179,1,""
"220898rr01",36,185,1,"",1824,194,1,""
"220898rr01",37,239,1,"",514,254,1,""
"220898rr01",38,210,1,"",514,223,1,""
"220898rr01",39,174,1,"",96,191,1,""
"220898rr01",4,NA,-1,"average fixpos(251.9) is off from middle(130.5) by 121.40 (>max 50.0)!",1661,172,1,""
"220898rr01",40,121,2,"",1661,139,2,""
"220898rr01",41,214,1,"",96,231,1,""
"220898rr01",42,178,1,"",1661,191,1,""
"220898rr01",43,246,1,"",96,251,1,""
"220898rr01",44,202,1,"",1824,-184,-1,"early saccade"
"220898rr01",45,321,1,"",1661,44,-1,"early saccade"
"220898rr01",46,307,1,"",96,4,-1,"early saccade"
"220898rr01",47,437,1,"",1824,208,1,""
"220898rr01",48,296,1,"",514,292,1,""
"220898rr01",49,267,1,"",259,264,1,""
"220898rr01",5,NA,-1,"average fixpos(47.8) is off from middle(130.5) by 82.68 (>max 50.0)!",259,80,2,""
"220898rr01",50,252,1,"",96,248,1,""
